datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,PredictMethod,KernelParameterNames,KernelParameters_1,KernelParameters_2
kim,0,avg,0.0001,0,26-Dec-2020 18:56:36,46883,11721,6,886b2c5,4fde618d,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.44956086323743,1.13298510338359,99.005308,0.0006559,,10,,0.0871825423875019,0.0609636837248925,NaN,<undefined>,<undefined>,,,
kim,0,gpr,0.0001,0,26-Dec-2020 18:58:25,46883,11721,6,886b2c5,96ca8229,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.44956086323743,1.13298510338359,100.110435,17.2235539,,10,,0.087205840645222,0.0605148999460198,1.23054007827543,SquaredExponential,fic,SigmaL,SigmaF,0.038709829314186,0.000201785668109389
kim,0,nn,0.0001,0,26-Dec-2020 18:54:32,46883,11721,6,886b2c5,d714c045,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.44956086323743,1.13298510338359,99.2810693,14.8614443,,10,,0.124106777879794,0.08847363381964,NaN,<undefined>,<undefined>,,,
