datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,PredictMethod,KernelParameterNames,KernelParameters_1,KernelParameters_2
kim,0,avg,0.0001,0,12-Dec-2020 20:13:43,3786,946,6,886b2c5,427d1f62,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.6398685,0.0003537,,10,,0.132972384281877,0.0874387954168523,NaN,<undefined>,<undefined>,,,
kim,0,gpr,0.0001,0,12-Dec-2020 20:14:01,3786,946,6,886b2c5,07e70f15,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.697068,5.9977541,,10,,0.0827720210610473,0.0561900757776765,1.2044311197514,SquaredExponential,fic,SigmaL,SigmaF,0.0383898495985405,0.133078077694631
kim,0,nn,0.0001,0,12-Dec-2020 20:13:26,3786,946,6,886b2c5,36888fab,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.7846515,0.0341494,,10,,0.0951059531625807,0.0557464429175476,NaN,<undefined>,<undefined>,,,
