datatype,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,PredictMethod,KernelType,KernelParameters_1,KernelParameters_2,KernelParameterNames,Beta,Sigma,genseed,errmetrics,rmse,mae
brk,gpr,0.0001,0,05-Nov-2020 05:06:20,100,100,6,4fba6b9,d1119210,5dof,5dof,0,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,10.9979519848296,2.48400484590767,1.6725468,0.3680028,,fic,SquaredExponential,0.061984394839602,0.127641872582592,SigmaL,SigmaF,1.16160381805108,0.00128966964931966,67008,,0.0869106388514547,0.0694585920782922
brk,nn,0.0001,0,05-Nov-2020 05:03:48,100,100,6,4fba6b9,2367fa4b,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,9.987781272759,2.89661227144017,2.2395509,0.0139083,,<undefined>,<undefined>,,,,NaN,NaN,56313,,0.188555461411075,0.115694279022782
brk,nn,0.0001,0,05-Nov-2020 05:06:09,100,100,6,4fba6b9,adab6cae,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,11.1999069742372,2.68261477837182,1.568819,0.0024131,,<undefined>,<undefined>,,,,NaN,NaN,34672,,0.183681893111715,0.122086623152505
