datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,PredictMethod,KernelType,KernelParameters_1,KernelParameters_2,KernelParameterNames,Beta,genseed,errmetrics,rmse,mae,L,int_fraction,nints,numnonints,r
kim,0.2,gpr,0.0001,0,29-Dec-2020 19:30:16,1000,1000,6,f3b55c4,f18cc8a6,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,4.60202664654909,2.60862524372488,4.8641534,2.6366563,,fic,SquaredExponential,0.0622742195603281,0.134817603423359,SigmaL,SigmaF,1.73263206833433,10,,0.468347570581005,0.466904504491911,NaN,NaN,NaN,NaN,NaN
kim,0.2,idw,0.0001,0,29-Dec-2020 19:30:34,1000,1000,6,f3b55c4,e9b1563f,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,4.60202664654909,2.60862524372488,4.4991041,0.0281999,,<undefined>,<undefined>,,,,NaN,10,,0.46394358577109,0.458746475216647,2,0.784,784,216,0.0567879933385233
kim,0.2,nn,0.0001,0,29-Dec-2020 19:30:00,1000,1000,6,f3b55c4,d6ec90ed,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,4.60202664654909,2.60862524372488,4.9977624,0.0140047,,<undefined>,<undefined>,,,,NaN,10,,0.465960959047708,0.460058156467764,NaN,NaN,NaN,NaN,NaN
