datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,L,PredictMethod,int_fraction,nints,numnonints,r,KernelParameterNames,KernelParameters_1,KernelParameters_2
kim,0,avg,0.0001,0,29-Dec-2020 17:20:06,46883,11721,6,f3b55c4,9d71f2df,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,93.1726004,0.0022989,,10,,0.119203230943965,0.0911025180554031,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,gpr,0.0001,0,29-Dec-2020 16:59:06,46883,11721,6,f3b55c4,21c8a4b4,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,93.605125,11.3771203,,10,,0.0591707594731524,0.0403848293016062,1.21462854004971,SquaredExponential,NaN,fic,NaN,NaN,NaN,NaN,SigmaL,SigmaF,0.0743035178956969,0.0659044038793738
kim,0,gpr,0.0001,0,29-Dec-2020 17:27:52,46883,11721,6,f3b55c4,fb5ff9fb,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,99.010874,11.4317665,,10,,0.0487333559316215,0.0302318988124561,1.0499873543153,SquaredExponential,NaN,fic,NaN,NaN,NaN,NaN,SigmaL,SigmaF,0.0543973988823508,0.108084122328324
kim,0,idw,0.0001,0,29-Dec-2020 17:24:59,46883,11721,6,f3b55c4,51f86fd8,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,107.1816296,35.0559944,,10,,0.0338337331961864,0.0201551561162295,NaN,<undefined>,2,<undefined>,0.775275147171743,9087,2634,0.0207970286745652,,,
kim,0,idw,0.0001,0,29-Dec-2020 16:57:06,46883,11721,6,f3b55c4,0dfc7818,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,91.4025278,15.9066503,,10,,0.0652193268851111,0.0448497529325678,NaN,<undefined>,2,<undefined>,0.775275147171743,9087,2634,0.0207970286745652,,,
kim,0,nn,0.0001,0,29-Dec-2020 17:22:19,46883,11721,6,f3b55c4,dd86c580,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,93.5250417,16.1625403,,10,,0.0370033933546945,0.0219135751013996,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
kim,0,nn,0.0001,0,29-Dec-2020 16:55:11,46883,11721,6,f3b55c4,2dcdfd5f,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,90.9618506,14.3923687,,10,,0.0684706312351903,0.0473700042658476,NaN,<undefined>,NaN,<undefined>,NaN,NaN,NaN,NaN,,,
