brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,parity,genseed,errmetrics,rmse,mae,PredictMethod,L,int_fraction,nints,numnonints,r,barytol,inttol,nnMax,nn_mae,nn_rmse,barytype,barypars
1,avg,0.0001,0,15-Oct-2020 16:39:37,100,10000,12,ff65e3f,64d8b545,5dof,5dof,1,0.00165,,1129607762,,0.129659556075074,0.0963342698270172,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:22,100,10000,12,ff65e3f,74ec0144,5dof,5dof,1,0.004399,,1129587765,,0.129659556075074,0.0963342698270172,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:43:30,100,10000,12,ff65e3f,a02c2b23,5dof,5dof,1,0.003022,,1129630559,,0.129659556075074,0.0963342698270172,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:48,100,10000,12,ff65e3f,62ed821d,5dof,5dof,1,0.001708,,1129590796,,0.129659556075074,0.0963342698270172,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:25,100,10000,12,ff65e3f,609d39aa,5dof,5dof,1,0.000839,,1129606894,,0.129659556075074,0.0963342698270172,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:14,100,10000,12,ff65e3f,e872b6da,5dof,5dof,1,0.000807,,1129611323,,0.129659556075074,0.0963342698270172,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:35:47,100,10000,12,ff65e3f,5bb190a9,5dof,5dof,1,0.014553,,1129584628,,0.130396118724946,0.0991051754515923,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:37:49,20000,10000,12,ff65e3f,5e2d75d5,5dof,5dof,1,0.002582,,1129594874,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:42:36,20000,10000,12,ff65e3f,f8842794,5dof,5dof,1,0.000949,,1129622036,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:33,20000,10000,12,ff65e3f,e013d75c,5dof,5dof,1,0.001848,,1129610031,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:37,20000,10000,12,ff65e3f,aa9a35af,5dof,5dof,1,0.00069,,1129604455,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:42:20,20000,10000,12,ff65e3f,937b81ba,5dof,5dof,1,0.00227,,1129620691,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:45:08,20000,10000,12,ff65e3f,da23b280,5dof,5dof,1,0.000969,,1129637676,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:46:16,20000,10000,12,ff65e3f,683a8e4f,5dof,5dof,1,0.000817,,1129644421,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:51,20000,10000,12,ff65e3f,a4d241bf,5dof,5dof,1,0.007841,,1129586872,,0.130747666052826,0.0977402716677383,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:56,20000,10000,12,ff65e3f,a47a303d,5dof,5dof,1,0.000532,,1129613096,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
