brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,runtime,parity,genseed,errmetrics,rmse,mae,Beta,L,Sigma,barytol,int_fraction,inttol,nints,nnMax,nn_mae,nn_rmse,numnonints,r,KernelParameterNames,KernelParameters_1,KernelParameters_2,KernelType,PredictMethod,barypars,barytype,datatype
1,idw,0.0001,0,24-Oct-2020 16:45:08,20000,10000,12,c764c61,8e6559cb,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.583424,,70781,,0.0705316553314983,0.0487043801428327,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:46:12,20000,10000,12,c764c61,ca0a8fe0,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.329805,,81541,,0.0694078420228831,0.0484661654752857,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:45:42,20000,10000,12,c764c61,c788960e,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.2907,,11923,,0.0687782970048307,0.0481768690237486,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:41:00,20000,10000,12,c764c61,9deda00c,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,2.71621,,19040,,0.0686242311193006,0.0478548133762322,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:47:06,20000,10000,12,c764c61,48daa92e,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.946973,,11496,,0.0684256129113516,0.0482324668685409,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 23:38:59,20000,10000,12,f585733,9d914606,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,3.432132,,84881,,0.0683386913504449,0.0478167234109579,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,brk
1,idw,0.0001,0,24-Oct-2020 16:44:50,388,10000,12,c764c61,495ef5d8,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.319532,,35983,,0.121366116611441,0.0862373025809363,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:44:01,388,10000,12,c764c61,35ce5f50,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.149894,,3538,,0.120748998102396,0.0868330717650013,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:40:28,388,10000,12,c764c61,8a35485f,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.359715,,81020,,0.125219267074775,0.0888300252199947,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
1,idw,0.0001,0,24-Oct-2020 16:41:42,388,10000,12,c764c61,28584a29,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.132771,,96463,,0.12992208798657,0.0919281282001152,NaN,2,NaN,NaN,1,NaN,10000,NaN,NaN,NaN,0,0.0436332312998582,,,,,,,,
