datatype,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,L,r,nints,numnonints,int_fraction,genseed,errmetrics,rmse,mae
brk,idw,0.0001,0,26-Oct-2020 22:44:48,1000,1000,6,9d0f4b0,47a0e3de,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,6.52503924734443,1.61639850142121,4.2282737,0.0301163,,2,0.0569325991097177,1000,0,1,28653,,0.107929526305211,0.076283152794898
kim,idw,0.0001,0,26-Oct-2020 22:44:34,1000,1000,6,9d0f4b0,5330c996,5dof,5dof,1,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,0.731880622688091,0.633002328994548,0.252294389881057,-0.00251921728229307,0.0939269815816352,-0.864081770618349,0.327686339705401,-0.370353990914772,6.20633263334457,1.92894185811289,3.9406889,0.0339449,,2,0.054151969583191,1000,0,1,13824,,0.113398878776625,0.081703246809857
