datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,PredictMethod,KernelParameterNames,KernelParameters_1,KernelParameters_2,KernelParameters_3,KernelParameters_4,KernelParameters_5,KernelParameters_6,KernelParameters_7,KernelParameters_8
kim,0,avg,0.0001,0,12-Dec-2020 20:25:36,3786,946,6,886b2c5,42982192,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.5259086,0.0003589,,10,,0.132972384281877,0.0874387954168523,NaN,<undefined>,<undefined>,,,,,,,,,
kim,0,gpr,0.0001,0,12-Dec-2020 20:26:10,3786,946,6,886b2c5,f188fee9,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.4744329,48.1199511,,10,,0.0802170647602451,0.0549387663141287,1.20495925969405,ARDSquaredExponential,fic,LengthScale1,LengthScale2,LengthScale3,LengthScale4,LengthScale5,LengthScale6,LengthScale7,SigmaF,0.0258281871747622,0.053717436064408,0.0487215258788916,0.0418136961471423,0.0388481475395064,5.75255529565922,0.0120699901407219,0.131623932674225
kim,0,nn,0.0001,0,12-Dec-2020 20:25:53,3786,946,6,886b2c5,cac8ea26,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,3.56978324249012,2.18490941309456,8.6938075,0.0356022,,10,,0.0951059531625807,0.0557464429175476,NaN,<undefined>,<undefined>,,,,,,,,,
