datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,genseed,errmetrics,rmse,mae,Beta,KernelType,PredictMethod,KernelParameterNames,KernelParameters_1,KernelParameters_2
kim,0,avg,0.0001,0,28-Dec-2020 16:56:37,46883,9687,6,f3b55c4,8dd87e3c,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.46131694903152,1.12714196562004,87.2990577,0.0081094,,10,,0.0782441973365818,0.0570443083440471,NaN,<undefined>,<undefined>,,,
kim,0,gpr,0.0001,0,28-Dec-2020 16:58:17,46883,9687,6,f3b55c4,aa2d2581,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.46131694903152,1.12714196562004,89.7221048,11.4283862,,10,,0.0521946849901749,0.0376033226931107,1.22540107577733,SquaredExponential,fic,SigmaL,SigmaF,0.0550347527210017,0.0687123773302418
kim,0,nn,0.0001,0,28-Dec-2020 16:54:49,46883,9687,6,f3b55c4,20073e6e,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.46131694903152,1.12714196562004,86.4178843,10.6067318,,10,,0.0633251897167798,0.0458652712914215,NaN,<undefined>,<undefined>,,,
