datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,PredictMethod,KernelType,KernelParameters_1,KernelParameters_2,KernelParameterNames,Beta,genseed,errmetrics,rmse,mae,L,int_fraction,nints,numnonints,r
kim,0.2,gpr,0.0001,0,29-Dec-2020 18:57:22,46883,11721,6,f3b55c4,abe6f3cd,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,102.7923083,11.1045985,,fic,SquaredExponential,0.0803568239221653,0.138543942978719,SigmaL,SigmaF,1.14681738171531,10,,0.205826057679364,0.165193876101403,NaN,NaN,NaN,NaN,NaN
kim,0.2,idw,0.0001,0,29-Dec-2020 18:54:30,46883,11721,6,f3b55c4,453c62e2,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,99.8865808,29.0727349,,<undefined>,<undefined>,,,,NaN,10,,0.269402695967945,0.213747903524581,2,0.775275147171743,9087,2634,0.0207970286745652
kim,0.2,nn,0.0001,0,29-Dec-2020 18:51:54,46883,11721,6,f3b55c4,0029e06c,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,1.68518132692062,0.956813277858832,98.3343271,18.4617947,,<undefined>,<undefined>,,,,NaN,10,,0.286944735939095,0.228462034682719,NaN,NaN,NaN,NaN,NaN
