datatype,sigma,method,projtol,zeroQ,starttime,ninputpts,npredpts,ncores,gitcommit,uuid,predinput,queryinput,projQ,oref_1,oref_2,oref_3,oref_4,oref_5,oref_6,oref_7,oref_8,oref2_1,oref2_2,oref2_3,oref2_4,oref2_5,oref2_6,oref2_7,oref2_8,nnmu,nnsigma,symruntime,runtime,parity,PredictMethod,KernelType,KernelParameters_1,KernelParameters_2,KernelParameterNames,Beta,genseed,errmetrics,rmse,mae,L,int_fraction,nints,numnonints,r
kim,0.2,gpr,0.0001,0,29-Dec-2020 19:47:35,1000,2000,6,f3b55c4,b5c29950,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,5.27279685662307,2.49487585623772,6.8684524,1.1385797,,fic,SquaredExponential,0.0909684986928638,0.14294296989696,SigmaL,SigmaF,1.32046806609528,10,,0.137534325937859,0.107980047606794,NaN,NaN,NaN,NaN,NaN
kim,0.2,idw,0.0001,0,29-Dec-2020 19:47:54,1000,2000,6,f3b55c4,2ac08e35,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,5.27279685662307,2.49487585623772,6.6178207,0.034259,,<undefined>,<undefined>,,,,NaN,10,,0.162023206870969,0.125581275464475,2,0.909,1818,182,0.0650641163718947
kim,0.2,nn,0.0001,0,29-Dec-2020 19:47:17,1000,2000,6,f3b55c4,2d910ee0,5dof,5dof,1,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,0.731880622688091,-0.633002328994548,-0.252294389881057,0.00251921728229307,0.0939269815816352,0.864081770618349,-0.327686339705401,0.370353990914772,5.27279685662307,2.49487585623772,6.4655408,0.0236201,,<undefined>,<undefined>,,,,NaN,10,,0.183321372189509,0.141221475721639,NaN,NaN,NaN,NaN,NaN
