ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  3     45.00   70.53   45.00    0.547356e+02    0.450000e+02    0.401277e+03
  3     45.00   70.53   45.00    0.547356e+02   -0.135000e+03    0.122585e+04
  3     45.00   70.53   45.00    0.547356e+02   -0.450000e+02    0.426392e+03
  3     45.00   70.53   45.00    0.547356e+02    0.135000e+03    0.426392e+03
  3     45.00   70.53   45.00    0.100000e-05    0.000000e+00    0.613664e+03
  3     45.00   70.53   45.00    0.900000e+02    0.000000e+00    0.602830e+03
  3     45.00   70.53   45.00    0.900000e+02    0.900000e+02    0.602830e+03
  3     45.00   70.53   45.00    0.360000e+02    0.582825e+02    0.361670e+03
  3     45.00   70.53   45.00    0.360000e+02   -0.121717e+03    0.110977e+04
  3     45.00   70.53   45.00    0.360000e+02   -0.582825e+02    0.792424e+03
  3     45.00   70.53   45.00    0.360000e+02    0.121717e+03    0.525445e+03
  3     45.00   70.53   45.00    0.600000e+02    0.209052e+02    0.525867e+03
  3     45.00   70.53   45.00    0.600000e+02   -0.159095e+03    0.110189e+04
  3     45.00   70.53   45.00    0.600000e+02   -0.209052e+02    0.338173e+03
  3     45.00   70.53   45.00    0.600000e+02    0.159095e+03    0.802132e+03
  3     45.00   70.53   45.00    0.720000e+02    0.582825e+02    0.806142e+03
  3     45.00   70.53   45.00    0.720000e+02   -0.121717e+03    0.110204e+04
  3     45.00   70.53   45.00    0.720000e+02   -0.582825e+02    0.522913e+03
  3     45.00   70.53   45.00    0.720000e+02    0.121717e+03    0.321922e+03
  5      0.00    0.00   36.86    0.107173e+02    0.450000e+02    0.129972e+04
  5      0.00    0.00   36.86    0.256722e+02    0.526226e+02    0.123493e+04
  5      0.00    0.00   36.86    0.107173e+02   -0.450000e+02    0.129972e+04
  5      0.00    0.00   36.86    0.256722e+02   -0.526226e+02    0.119117e+04
  5      0.00    0.00   36.86    0.561496e+02    0.911025e+01    0.136078e+04
  5      0.00    0.00   36.86    0.561496e+02   -0.911025e+01    0.124928e+04
  5      0.00    0.00   36.86    0.396648e+02    0.418103e+02    0.131344e+04
  5      0.00    0.00   36.86    0.503352e+02    0.265651e+02    0.131182e+04
  5      0.00    0.00   36.86    0.396648e+02   -0.418103e+02    0.129726e+04
  5      0.00    0.00   36.86    0.503352e+02   -0.265651e+02    0.128291e+04
  5      0.00    0.00   36.86    0.107173e+02   -0.135000e+03    0.129972e+04
  5      0.00    0.00   36.86    0.256722e+02   -0.127377e+03    0.123493e+04
  5      0.00    0.00   36.86    0.107173e+02    0.135000e+03    0.129972e+04
  5      0.00    0.00   36.86    0.256722e+02    0.127377e+03    0.119117e+04
  5      0.00    0.00   36.86    0.561496e+02   -0.170890e+03    0.136078e+04
  5      0.00    0.00   36.86    0.561496e+02    0.170890e+03    0.124928e+04
  5      0.00    0.00   36.86    0.396648e+02   -0.138190e+03    0.131344e+04
  5      0.00    0.00   36.86    0.503352e+02   -0.153435e+03    0.131182e+04
  5      0.00    0.00   36.86    0.396648e+02    0.138190e+03    0.129726e+04
  5      0.00    0.00   36.86    0.503352e+02    0.153435e+03    0.128291e+04
  5      0.00    0.00   36.86    0.824439e+02    0.762263e+01    0.139427e+04
  5      0.00    0.00   36.86    0.698633e+02    0.162670e+02    0.141369e+04
  5      0.00    0.00   36.86    0.824439e+02   -0.172377e+03    0.139427e+04
  5      0.00    0.00   36.86    0.698633e+02   -0.163733e+03    0.141369e+04
  5      0.00    0.00   36.86    0.824439e+02    0.558123e+02    0.127664e+04
  5      0.00    0.00   36.86    0.824439e+02   -0.124188e+03    0.127664e+04
  5      0.00    0.00   36.86    0.648158e+02    0.317175e+02    0.149515e+04
