ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  3     45.00   70.53   45.00    0.547356D+02    0.450000D+02    0.401277D+03
  3     45.00   70.53   45.00    0.547356D+02   -0.135000D+03    0.122585D+04
  3     45.00   70.53   45.00    0.547356D+02   -0.450000D+02    0.426392D+03
  3     45.00   70.53   45.00    0.547356D+02    0.135000D+03    0.426392D+03
  3     45.00   70.53   45.00    0.100000D-05    0.000000D+00    0.613664D+03
  3     45.00   70.53   45.00    0.900000D+02    0.000000D+00    0.602830D+03
  3     45.00   70.53   45.00    0.900000D+02    0.900000D+02    0.602830D+03
  3     45.00   70.53   45.00    0.360000D+02    0.582825D+02    0.361670D+03
  3     45.00   70.53   45.00    0.360000D+02   -0.121717D+03    0.110977D+04
  3     45.00   70.53   45.00    0.360000D+02   -0.582825D+02    0.792424D+03
  3     45.00   70.53   45.00    0.360000D+02    0.121717D+03    0.525445D+03
  3     45.00   70.53   45.00    0.600000D+02    0.209052D+02    0.525867D+03
  3     45.00   70.53   45.00    0.600000D+02   -0.159095D+03    0.110189D+04
  3     45.00   70.53   45.00    0.600000D+02   -0.209052D+02    0.338173D+03
  3     45.00   70.53   45.00    0.600000D+02    0.159095D+03    0.802132D+03
  3     45.00   70.53   45.00    0.720000D+02    0.582825D+02    0.806142D+03
  3     45.00   70.53   45.00    0.720000D+02   -0.121717D+03    0.110204D+04
  3     45.00   70.53   45.00    0.720000D+02   -0.582825D+02    0.522913D+03
  3     45.00   70.53   45.00    0.720000D+02    0.121717D+03    0.321922D+03
  5      0.00    0.00   36.86    0.107173D+02    0.450000D+02    0.129972D+04
  5      0.00    0.00   36.86    0.256722D+02    0.526226D+02    0.123493D+04
  5      0.00    0.00   36.86    0.107173D+02   -0.450000D+02    0.129972D+04
  5      0.00    0.00   36.86    0.256722D+02   -0.526226D+02    0.119117D+04
