cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     mechanically selected 66,339 grain boundaries
c
c  Misorientation : three Euler angles (phi1, phi, phi2)
c  Inclination    : polar and azimuth angles
c  GBE            : Gran boundary energy (mJ/m2)
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
  ph1  ph  ph2     polar           azimuth          GBE
   0   0  10    0.256720e+02   -0.526230e+02    0.113430e+04
   0   0  10    0.561500e+02    0.911000e+01    0.112157e+04
   0   0  10   -0.123850e+03   -0.911000e+01    0.120226e+04
   0   0  10    0.396650e+02    0.418100e+02    0.109983e+04
   0   0  10   -0.129665e+03    0.265650e+02    0.979743e+03
   0   0  10   -0.140335e+03   -0.418100e+02    0.115843e+04
   0   0  10    0.503350e+02   -0.265650e+02    0.111728e+04
   0   0  10   -0.107170e+02    0.450000e+02    0.112776e+04
   0   0  10    0.154328e+03    0.526230e+02    0.116687e+04
   0   0  10    0.169283e+03   -0.450000e+02    0.112776e+04
   0   0  10   -0.256720e+02   -0.526230e+02    0.113430e+04
   0   0  10   -0.561500e+02    0.911000e+01    0.112157e+04
   0   0  10    0.123850e+03   -0.911000e+01    0.120226e+04
   0   0  10   -0.396650e+02    0.418100e+02    0.109983e+04
   0   0  10    0.129665e+03    0.265650e+02    0.979743e+03
   0   0  10    0.140335e+03   -0.418100e+02    0.115843e+04
   0   0  10   -0.503350e+02   -0.265650e+02    0.111728e+04
   0   0  10    0.824440e+02    0.762300e+01    0.100859e+04
   0   0  10   -0.110137e+03    0.162670e+02    0.995220e+03
   0   0  10   -0.824440e+02    0.762300e+01    0.100859e+04
   0   0  10    0.110137e+03    0.162670e+02    0.995220e+03
   0   0  10    0.824440e+02    0.558120e+02    0.114035e+04
   0   0  10   -0.824440e+02    0.558120e+02    0.114035e+04
   0   0  10    0.648160e+02    0.317170e+02    0.950266e+03
   0   0  10   -0.110137e+03    0.471680e+02    0.103609e+04
   0   0  10   -0.648160e+02    0.317170e+02    0.950266e+03
   0   0  10    0.110137e+03    0.471680e+02    0.103609e+04
   0   0  10   -0.975560e+02   -0.762300e+01    0.997612e+03
   0   0  10    0.698630e+02   -0.162670e+02    0.100711e+04
   0   0  10    0.975560e+02   -0.762300e+01    0.997612e+03
   0   0  10   -0.698630e+02   -0.162670e+02    0.100711e+04
   0   0  10   -0.975560e+02   -0.558120e+02    0.112326e+04
   0   0  10    0.975560e+02   -0.558120e+02    0.112326e+04
   0   0  10   -0.115184e+03   -0.317170e+02    0.975873e+03
   0   0  10    0.698630e+02   -0.471680e+02    0.100922e+04
   0   0  10    0.115184e+03   -0.317170e+02    0.975873e+03
   0   0  10   -0.698630e+02   -0.471680e+02    0.100922e+04
   0   0  10    0.349130e+02    0.767170e+02    0.118369e+04
   0   0  10    0.145087e+03   -0.767170e+02    0.121239e+04
   0   0  10    0.824440e+02    0.823770e+02    0.997612e+03
   0   0  10   -0.105248e+03    0.690950e+02    0.956246e+03
   0   0  10    0.975560e+02   -0.823770e+02    0.100859e+04
   0   0  10   -0.747520e+02   -0.690950e+02    0.104847e+04
   0   0  10   -0.133513e+03    0.616600e+02    0.118362e+04
   0   0  10    0.615910e+02    0.610670e+02    0.104777e+04
   0   0  10   -0.464870e+02   -0.616600e+02    0.109118e+04
   0   0  10    0.118409e+03   -0.610670e+02    0.100929e+04
   0   0  10   -0.349130e+02    0.767170e+02    0.118369e+04
   0   0  10   -0.145087e+03   -0.767170e+02    0.121239e+04
   0   0  10   -0.824440e+02    0.823770e+02    0.997612e+03
   0   0  10    0.105248e+03    0.690950e+02    0.956246e+03
   0   0  10   -0.975560e+02   -0.823770e+02    0.100859e+04
   0   0  10    0.747520e+02   -0.690950e+02    0.104847e+04
   0   0  10    0.133513e+03    0.616600e+02    0.118362e+04
   0   0  10   -0.615910e+02    0.610670e+02    0.104777e+04
   0   0  10    0.464870e+02   -0.616600e+02    0.109118e+04
   0   0  10   -0.118409e+03   -0.610670e+02    0.100929e+04
   0   0  10    0.317170e+02    0.000000e+00    0.119741e+04
   0   0  10    0.148283e+03    0.000000e+00    0.119741e+04
   0   0  10    0.900000e+02    0.317170e+02    0.859022e+03
   0   0  10    0.900000e+02   -0.317170e+02    0.115027e+04
   0   0  10    0.582830e+02    0.900000e+02    0.118777e+04
   0   0  10    0.121717e+03    0.900000e+02    0.118805e+04
   0   0  10    0.209050e+02    0.900000e+02    0.115977e+04
   0   0  10    0.159095e+03    0.900000e+02    0.115977e+04
   0   0  10    0.690950e+02    0.000000e+00    0.106986e+04
   0   0  10    0.110905e+03    0.000000e+00    0.106993e+04
   0   0  10    0.900000e+02    0.690950e+02    0.928809e+03
   0   0  10    0.900000e+02   -0.690950e+02    0.117475e+04
   0   0  10    0.547360e+02    0.450000e+02    0.880479e+03
   0   0  10    0.125264e+03    0.450000e+02    0.880479e+03
   0   0  10    0.547360e+02   -0.450000e+02    0.880479e+03
   0   0  10    0.125264e+03   -0.450000e+02    0.880479e+03
   0   0  10    0.000000e+00    0.000000e+00    0.110968e+04
   0   0  10    0.900000e+02    0.000000e+00    0.665629e+03
   0   0  10    0.900000e+02    0.900000e+02    0.665700e+03
   0   0  10    0.360000e+02    0.582830e+02    0.119938e+04
   0   0  10    0.144000e+03    0.582830e+02    0.119938e+04
   0   0  10    0.360000e+02   -0.582830e+02    0.110314e+04
   0   0  10    0.144000e+03   -0.582830e+02    0.110314e+04
   0   0  10    0.600000e+02    0.209050e+02    0.103806e+04
   0   0  10    0.120000e+03    0.209050e+02    0.103806e+04
   0   0  10    0.600000e+02   -0.209050e+02    0.108478e+04
   0   0  10    0.120000e+03   -0.209050e+02    0.108478e+04
   0   0  10    0.720000e+02    0.582830e+02    0.102308e+04
   0   0  10    0.108000e+03    0.582830e+02    0.102308e+04
   0   0  10    0.720000e+02   -0.582830e+02    0.104116e+04
   0   0  10    0.108000e+03   -0.582830e+02    0.104116e+04
   0   0  20    0.107170e+02    0.450000e+02    0.131834e+04
   0   0  20   -0.154328e+03    0.526230e+02    0.125784e+04
   0   0  20   -0.169283e+03   -0.450000e+02    0.131834e+04
   0   0  20    0.256720e+02   -0.526230e+02    0.120803e+04
   0   0  20    0.561500e+02    0.911000e+01    0.124222e+04
   0   0  20   -0.123850e+03   -0.911000e+01    0.129723e+04
   0   0  20    0.396650e+02    0.418100e+02    0.115147e+04
   0   0  20   -0.129665e+03    0.265650e+02    0.114640e+04
   0   0  20   -0.140335e+03   -0.418100e+02    0.124876e+04
   0   0  20    0.503350e+02   -0.265650e+02    0.129245e+04
   0   0  20   -0.107170e+02    0.450000e+02    0.131834e+04
   0   0  20    0.154328e+03    0.526230e+02    0.125784e+04
   0   0  20    0.169283e+03   -0.450000e+02    0.131834e+04
   0   0  20   -0.256720e+02   -0.526230e+02    0.120803e+04
   0   0  20   -0.561500e+02    0.911000e+01    0.124222e+04
   0   0  20    0.123850e+03   -0.911000e+01    0.129723e+04
   0   0  20   -0.396650e+02    0.418100e+02    0.115147e+04
   0   0  20    0.129665e+03    0.265650e+02    0.114640e+04
   0   0  20    0.140335e+03   -0.418100e+02    0.124876e+04
   0   0  20   -0.503350e+02   -0.265650e+02    0.129245e+04
   0   0  20    0.824440e+02    0.762300e+01    0.121232e+04
   0   0  20   -0.110137e+03    0.162670e+02    0.119762e+04
   0   0  20   -0.824440e+02    0.762300e+01    0.121232e+04
   0   0  20    0.110137e+03    0.162670e+02    0.119762e+04
   0   0  20    0.824440e+02    0.558120e+02    0.123497e+04
   0   0  20   -0.824440e+02    0.558120e+02    0.123497e+04
   0   0  20    0.648160e+02    0.317170e+02    0.111496e+04
   0   0  20   -0.110137e+03    0.471680e+02    0.118038e+04
   0   0  20   -0.648160e+02    0.317170e+02    0.111496e+04
   0   0  20    0.110137e+03    0.471680e+02    0.118038e+04
   0   0  20   -0.975560e+02   -0.762300e+01    0.118889e+04
   0   0  20    0.698630e+02   -0.162670e+02    0.126691e+04
   0   0  20    0.975560e+02   -0.762300e+01    0.118889e+04
   0   0  20   -0.698630e+02   -0.162670e+02    0.126691e+04
   0   0  20   -0.975560e+02   -0.558120e+02    0.126670e+04
   0   0  20    0.975560e+02   -0.558120e+02    0.126670e+04
   0   0  20   -0.115184e+03   -0.317170e+02    0.119621e+04
   0   0  20    0.698630e+02   -0.471680e+02    0.117110e+04
   0   0  20    0.115184e+03   -0.317170e+02    0.119621e+04
   0   0  20   -0.698630e+02   -0.471680e+02    0.117110e+04
   0   0  20    0.349130e+02    0.767170e+02    0.130504e+04
   0   0  20    0.145087e+03   -0.767170e+02    0.128689e+04
   0   0  20    0.824440e+02    0.823770e+02    0.118889e+04
   0   0  20   -0.105248e+03    0.690950e+02    0.122217e+04
