cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     mechanically selected 66,339 grain boundaries
c
c  Misorientation : three Euler angles (phi1, phi, phi2)
c  Inclination    : polar and azimuth angles
c  GBE            : Gran boundary energy (mJ/m2)
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
  ph1  ph  ph2     polar           azimuth          GBE
   0   0  10    0.256720D+02   -0.526230D+02    0.113430D+04
   0   0  10    0.561500D+02    0.911000D+01    0.112157D+04
   0   0  10   -0.123850D+03   -0.911000D+01    0.120226D+04
   0   0  10    0.396650D+02    0.418100D+02    0.109983D+04
   0   0  10   -0.129665D+03    0.265650D+02    0.979743D+03
   0   0  10   -0.140335D+03   -0.418100D+02    0.115843D+04
   0   0  10    0.503350D+02   -0.265650D+02    0.111728D+04
   0   0  10   -0.107170D+02    0.450000D+02    0.112776D+04
   0   0  10    0.154328D+03    0.526230D+02    0.116687D+04
   0   0  10    0.169283D+03   -0.450000D+02    0.112776D+04
   0   0  10   -0.256720D+02   -0.526230D+02    0.113430D+04
   0   0  10   -0.561500D+02    0.911000D+01    0.112157D+04
   0   0  10    0.123850D+03   -0.911000D+01    0.120226D+04
   0   0  10   -0.396650D+02    0.418100D+02    0.109983D+04
   0   0  10    0.129665D+03    0.265650D+02    0.979743D+03
   0   0  10    0.140335D+03   -0.418100D+02    0.115843D+04
   0   0  10   -0.503350D+02   -0.265650D+02    0.111728D+04
   0   0  10    0.824440D+02    0.762300D+01    0.100859D+04
   0   0  10   -0.110137D+03    0.162670D+02    0.995220D+03
   0   0  10   -0.824440D+02    0.762300D+01    0.100859D+04
   0   0  10    0.110137D+03    0.162670D+02    0.995220D+03
   0   0  10    0.824440D+02    0.558120D+02    0.114035D+04
   0   0  10   -0.824440D+02    0.558120D+02    0.114035D+04
   0   0  10    0.648160D+02    0.317170D+02    0.950266D+03
   0   0  10   -0.110137D+03    0.471680D+02    0.103609D+04
   0   0  10   -0.648160D+02    0.317170D+02    0.950266D+03
   0   0  10    0.110137D+03    0.471680D+02    0.103609D+04
   0   0  10   -0.975560D+02   -0.762300D+01    0.997612D+03
   0   0  10    0.698630D+02   -0.162670D+02    0.100711D+04
   0   0  10    0.975560D+02   -0.762300D+01    0.997612D+03
   0   0  10   -0.698630D+02   -0.162670D+02    0.100711D+04
   0   0  10   -0.975560D+02   -0.558120D+02    0.112326D+04
   0   0  10    0.975560D+02   -0.558120D+02    0.112326D+04
   0   0  10   -0.115184D+03   -0.317170D+02    0.975873D+03
   0   0  10    0.698630D+02   -0.471680D+02    0.100922D+04
   0   0  10    0.115184D+03   -0.317170D+02    0.975873D+03
   0   0  10   -0.698630D+02   -0.471680D+02    0.100922D+04
   0   0  10    0.349130D+02    0.767170D+02    0.118369D+04
   0   0  10    0.145087D+03   -0.767170D+02    0.121239D+04
   0   0  10    0.824440D+02    0.823770D+02    0.997612D+03
   0   0  10   -0.105248D+03    0.690950D+02    0.956246D+03
   0   0  10    0.975560D+02   -0.823770D+02    0.100859D+04
   0   0  10   -0.747520D+02   -0.690950D+02    0.104847D+04
   0   0  10   -0.133513D+03    0.616600D+02    0.118362D+04
   0   0  10    0.615910D+02    0.610670D+02    0.104777D+04
   0   0  10   -0.464870D+02   -0.616600D+02    0.109118D+04
   0   0  10    0.118409D+03   -0.610670D+02    0.100929D+04
   0   0  10   -0.349130D+02    0.767170D+02    0.118369D+04
   0   0  10   -0.145087D+03   -0.767170D+02    0.121239D+04
   0   0  10   -0.824440D+02    0.823770D+02    0.997612D+03
   0   0  10    0.105248D+03    0.690950D+02    0.956246D+03
   0   0  10   -0.975560D+02   -0.823770D+02    0.100859D+04
   0   0  10    0.747520D+02   -0.690950D+02    0.104847D+04
   0   0  10    0.133513D+03    0.616600D+02    0.118362D+04
   0   0  10   -0.615910D+02    0.610670D+02    0.104777D+04
   0   0  10    0.464870D+02   -0.616600D+02    0.109118D+04
   0   0  10   -0.118409D+03   -0.610670D+02    0.100929D+04
   0   0  10    0.317170D+02    0.000000D+00    0.119741D+04
   0   0  10    0.148283D+03    0.000000D+00    0.119741D+04
   0   0  10    0.900000D+02    0.317170D+02    0.859022D+03
   0   0  10    0.900000D+02   -0.317170D+02    0.115027D+04
   0   0  10    0.582830D+02    0.900000D+02    0.118777D+04
   0   0  10    0.121717D+03    0.900000D+02    0.118805D+04
   0   0  10    0.209050D+02    0.900000D+02    0.115977D+04
   0   0  10    0.159095D+03    0.900000D+02    0.115977D+04
   0   0  10    0.690950D+02    0.000000D+00    0.106986D+04
   0   0  10    0.110905D+03    0.000000D+00    0.106993D+04
   0   0  10    0.900000D+02    0.690950D+02    0.928809D+03
   0   0  10    0.900000D+02   -0.690950D+02    0.117475D+04
   0   0  10    0.547360D+02    0.450000D+02    0.880479D+03
   0   0  10    0.125264D+03    0.450000D+02    0.880479D+03
   0   0  10    0.547360D+02   -0.450000D+02    0.880479D+03
   0   0  10    0.125264D+03   -0.450000D+02    0.880479D+03
   0   0  10    0.000000D+00    0.000000D+00    0.110968D+04
   0   0  10    0.900000D+02    0.000000D+00    0.665629D+03
   0   0  10    0.900000D+02    0.900000D+02    0.665700D+03
   0   0  10    0.360000D+02    0.582830D+02    0.119938D+04
   0   0  10    0.144000D+03    0.582830D+02    0.119938D+04
   0   0  10    0.360000D+02   -0.582830D+02    0.110314D+04
   0   0  10    0.144000D+03   -0.582830D+02    0.110314D+04
   0   0  10    0.600000D+02    0.209050D+02    0.103806D+04
   0   0  10    0.120000D+03    0.209050D+02    0.103806D+04
   0   0  10    0.600000D+02   -0.209050D+02    0.108478D+04
   0   0  10    0.120000D+03   -0.209050D+02    0.108478D+04
   0   0  10    0.720000D+02    0.582830D+02    0.102308D+04
   0   0  10    0.108000D+03    0.582830D+02    0.102308D+04
   0   0  10    0.720000D+02   -0.582830D+02    0.104116D+04
   0   0  10    0.108000D+03   -0.582830D+02    0.104116D+04
   0   0  20    0.107170D+02    0.450000D+02    0.131834D+04
   0   0  20   -0.154328D+03    0.526230D+02    0.125784D+04
   0   0  20   -0.169283D+03   -0.450000D+02    0.131834D+04
   0   0  20    0.256720D+02   -0.526230D+02    0.120803D+04
   0   0  20    0.561500D+02    0.911000D+01    0.124222D+04
   0   0  20   -0.123850D+03   -0.911000D+01    0.129723D+04
   0   0  20    0.396650D+02    0.418100D+02    0.115147D+04
   0   0  20   -0.129665D+03    0.265650D+02    0.114640D+04
   0   0  20   -0.140335D+03   -0.418100D+02    0.124876D+04
   0   0  20    0.503350D+02   -0.265650D+02    0.129245D+04
   0   0  20   -0.107170D+02    0.450000D+02    0.131834D+04
   0   0  20    0.154328D+03    0.526230D+02    0.125784D+04
   0   0  20    0.169283D+03   -0.450000D+02    0.131834D+04
   0   0  20   -0.256720D+02   -0.526230D+02    0.120803D+04
   0   0  20   -0.561500D+02    0.911000D+01    0.124222D+04
   0   0  20    0.123850D+03   -0.911000D+01    0.129723D+04
   0   0  20   -0.396650D+02    0.418100D+02    0.115147D+04
   0   0  20    0.129665D+03    0.265650D+02    0.114640D+04
   0   0  20    0.140335D+03   -0.418100D+02    0.124876D+04
   0   0  20   -0.503350D+02   -0.265650D+02    0.129245D+04
   0   0  20    0.824440D+02    0.762300D+01    0.121232D+04
   0   0  20   -0.110137D+03    0.162670D+02    0.119762D+04
   0   0  20   -0.824440D+02    0.762300D+01    0.121232D+04
