GB_index   relative shear vector
274	-0.06	-0.07
275	0.00	-0.04
276	-0.07	0.00
277	0.22	0.04
278	0.00	-0.01
279	-0.08	0.00
280	0.03	0.00
281	0.17	0.00
282	-0.02	-0.03
283	-0.37	0.00
284	-0.01	0.07
285	0.00	-0.04
286	0.00	0.00
287	0.00	0.32
288	0.00	-0.08
289	0.00	0.00
290	****	****
291	****	****
292	-0.30	-0.05
293	0.01	0.12
294	0.09	0.00
295	-0.03	0.00
296	-0.06	0.00
297	0.01	-0.08
298	-0.03	0.01
299	0.00	-0.03
300	-0.01	0.00
301	0.00	0.00
302	-0.01	0.17
303	0.00	-0.22
304	-0.15	-0.01
305	0.07	0.03
306	0.09	0.09
307	0.00	-0.02
308	0.01	0.01
309	-0.01	-0.01
310	0.01	-0.22
311	-0.04	-0.02
312	0.00	0.00
313	0.03	-0.01
314	-0.03	0.10
315	-0.03	0.01
316	-0.05	0.14
317	-0.25	0.09
318	-0.01	-0.03
319	-0.20	0.00
320	0.00	0.00
321	-0.19	0.06
322	0.08	0.30
323	0.00	-0.05
324	0.00	-0.04
325	0.00	0.03
326	0.01	-0.08
327	-0.08	-0.01
328	0.04	0.00
329	-0.04	-0.13
330	****	****
331	****	****
332	0.00	0.28
333	0.00	0.00
334	****	****
335	****	****
336	0.08	0.04
337	0.00	0.00
338	****	****
339	****	****
340	0.01	-0.04
341	-0.05	0.00
342	0.09	-0.19
343	0.00	0.00
344	-0.06	0.00
345	0.00	-0.01
346	-0.13	0.13
347	0.00	-0.02
348	0.02	0.00
349	-0.05	-0.02
350	0.00	0.00
351	0.00	0.00
352	0.00	0.00
353	0.07	-0.16
354	0.00	-0.05
355	-0.26	0.00
356	-0.01	0.02
357	-0.03	0.00
358	0.00	-0.04
359	-0.09	0.01
360	0.04	-0.04
361	0.00	0.00
362	0.00	-0.01
363	-0.17	0.01
364	0.01	0.15
365	-0.01	-0.08
366	0.00	0.00
367	-0.12	0.08
368	-0.01	0.00
369	-0.34	0.01
370	0.00	0.18
371	0.00	-0.01
372	0.02	-0.04
373	0.00	0.00
374	0.00	-0.23
375	-0.17	-0.01
376	0.02	-0.01
377	-0.17	0.01
378	0.00	-0.01
379	0.00	-0.56
380	0.01	0.01
381	****	****
382	0.00	-0.20
383	0.00	0.00
384	0.00	-0.07
385	****	****
386	0.00	0.00
387	****	****
388	****	****
