GB_index   Ni      Al    Energy (J/m^2)
278	0.907	0.331
279	1.088	0.428
280	1.272	0.502
281	0.889	0.336
282	1.294	0.509
283	1.144	0.442
284	1.227	0.456
285	1.107	0.447
286	0.967	0.367
287	0.990	0.409
288	1.241	0.485
289	1.003	0.388
290	0.479	0.261
291	0.478	0.261
292	1.218	0.472
293	1.268	0.475
294	1.036	0.369
295	1.213	0.471
296	1.062	0.384
297	1.182	0.471
298	1.162	0.475
299	1.331	0.496
300	0.983	0.339
301	1.088	0.413
302	1.053	0.396
303	1.067	0.398
304	1.221	0.440
305	1.348	0.512
306	1.097	0.454
307	1.281	0.491
308	1.217	0.434
309	1.217	0.451
310	1.084	0.440
311	1.341	0.508
312	0.910	0.361
313	1.359	0.517
314	1.228	0.467
315	1.289	0.474
316	1.107	0.430
317	1.291	0.456
318	1.390	0.537
319	0.919	0.383
320	0.950	0.374
321	1.343	0.501
322	1.244	0.449
323	1.247	0.457
324	1.337	0.482
325	1.317	0.500
326	1.306	0.506
327	1.331	0.506
328	1.266	0.470
329	1.307	0.518
330	0.782	0.328
331	0.701	0.281
332	0.996	0.375
333	0.704	0.287
334	0.842	0.295
335	0.982	0.348
336	1.154	0.430
337	0.740	0.297
338	0.940	0.337
339	0.907	0.370
340	1.292	0.475
341	1.372	0.502
342	1.301	0.482
343	1.293	0.490
344	1.239	0.478
345	1.303	0.517
346	1.327	0.476
347	1.227	0.479
348	1.325	0.511
349	1.360	0.514
350	0.960	0.382
351	1.212	0.465
352	0.945	0.345
353	1.185	0.447
354	1.038	0.412
355	1.149	0.463
356	1.118	0.455
357	1.269	0.502
358	1.282	0.497
359	1.414	0.535
360	1.307	0.496
361	1.112	0.428
362	1.034	0.448
363	0.972	0.376
364	1.289	0.466
365	1.272	0.482
366	0.384	0.180
367	1.219	0.439
368	1.248	0.434
369	0.836	0.298
370	1.124	0.424
371	0.895	0.362
372	1.248	0.458
373	1.057	0.378
374	1.152	0.465
375	1.357	0.517
376	1.232	0.466
377	1.125	0.471
378	1.274	0.493
379	1.279	0.483
380	0.968	0.343
381	0.722	0.302
382	1.202	0.441
383	1.005	0.354
384	1.150	0.422
385	0.815	0.340
386	0.933	0.347
387	0.404	0.201
388	0.404	0.200
