GB_index  Mobility (m/s-GPa)
1	121
2	106
3	0
4	210
5	1489
6	107
7	134
8	151
9	91
10	114
11	1749
12	104
13	1627
14	104
15	115
16	210
17	131
18	643
19	76
20	463
21	81
22	148
23	125
24	120
25	544
26	89
27	1368
28	106
29	220
30	1014
31	0
32	0
33	722
34	49
35	115
36	224
37	116
38	134
39	260
40	388
41	120
42	99
43	190
44	116
45	1455
46	149
47	1930
48	111
49	93
50	434
51	461
52	139
53	168
54	85
55	107
56	158
57	724
58	217
59	113
60	107
61	612
62	202
63	98
64	85
65	135
66	74
67	117
68	1196
69	160
70	96
71	1395
72	0
73	0
74	507
75	381
76	137
77	200
78	1828
79	89
80	938
81	114
82	201
83	109
84	1441
85	96
86	111
87	102
88	105
89	1727
90	106
91	104
92	107
93	139
94	317
95	169
96	175
97	126
98	94
99	116
100	116
101	102
102	122
103	834
104	126
105	167
106	137
107	106
108	79
109	97
110	143
111	139
112	131
113	112
114	0
115	65
116	598
117	93
118	75
119	320
120	103
121	166
122	105
123	169
124	123
125	140
126	150
127	1734
128	134
129	145
130	126
131	121
132	127
133	121
134	155
135	94
136	118
137	125
138	120
139	152
140	2181
141	96
142	1495
143	96
144	256
145	622
146	0
147	0
148	131
149	0
150	0
151	139
152	162
153	115
154	997
155	119
156	278
157	152
158	0
159	483
160	578
161	0
162	0
163	573
164	0
165	224
166	83
167	536
168	166
169	41
170	117
171	111
172	133
173	221
174	88
175	125
176	569
177	1722
178	1450
179	125
180	134
181	137
182	170
183	176
184	79
185	141
186	126
187	137
188	137
189	1476
190	109
191	146
192	167
193	142
194	219
195	132
196	132
197	89
198	75
199	124
200	1671
201	98
202	116
203	305
204	135
205	147
206	182
207	106
208	129
209	145
210	104
211	93
212	125
213	61
214	107
215	103
216	188
217	119
218	147
219	138
220	229
221	141
222	107
223	124
224	91
225	90
226	103
227	113
228	122
229	126
230	75
231	136
232	148
233	171
234	132
235	111
236	124
237	107
238	93
239	190
240	0
241	79
242	84
243	0
244	595
245	1322
246	91
247	0
248	128
249	117
250	305
251	0
252	130
253	754
254	0
255	235
256	640
257	823
258	1551
259	94
260	99
261	494
262	125
263	123
264	134
265	126
266	107
267	1498
268	70
269	107
270	112
271	104
272	108
273	136
274	147
275	127
276	188
277	103
278	166
279	240
280	123
281	199
282	120
283	191
284	98
285	282
286	953
287	999
288	93
289	1471
290	0
291	0
292	117
293	140
294	78
295	144
296	86
297	125
298	150
299	128
300	104
301	231
302	222
303	208
304	97
305	113
306	153
307	120
308	86
309	94
310	109
311	94
312	223
313	107
314	137
315	105
316	107
317	107
318	157
319	222
320	1129
321	108
322	126
323	137
324	157
325	122
326	132
327	115
328	162
329	121
330	1246
331	356
332	397
333	575
334	0
335	41
336	100
337	684
338	36
339	48
340	116
341	132
342	106
343	117
344	88
345	109
346	119
347	186
348	131
349	102
350	1339
351	112
352	147
353	98
354	208
355	88
356	305
357	171
358	173
359	119
360	123
361	242
362	358
363	169
364	79
365	95
366	638
367	116
368	117
369	189
370	141
371	1637
372	93
373	176
374	103
375	115
376	114
377	135
378	134
379	104
380	117
381	0
382	94
383	1522
384	108
385	0
386	356
387	0
388	0
