GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
89,3,2,8,5,1,3,1,0,2,-4,4,0,0,-6,4,-5,-7,-3,9,0,1,1,0,0.333333333,70.5288,8,5,1,3,1,0,0,0,-0.333333333,-0.333333333,1.333333333,0,0,2,-0.333333333,0.666666667,-3.666666667,-4,-2,0,-1,-4,1,-2,-3
90,9,6,8,5,1,7,5,4,2,-4,4,4,-4,-2,4,-5,-7,1,5,-8,1,1,0,0.777777778,38.9424,8,5,1,7,5,4,0,0,-0.333333333,-1.333333333,0.333333333,0.111111111,-0.888888889,0.555555556,-0.222222222,0.777777778,-0.111111111,-6,-2,-2,-7,-7,-8,-6,-5
91,45,23,8,5,1,7,5,4,2,-4,4,-4,4,2,4,-5,-7,-1,-5,8,2,1,0,0.111111111,83.6206,8,5,1,7,5,4,0,0,-0.088888889,0.777777778,-1.177777778,1.266666667,-5.333333333,9.533333333,-1.777777778,7.555555556,-13.55555556,12,10,4,-53,-20,29,-22,-9
92,5,1,8,5,1,7,5,-4,2,-4,4,4,-4,2,4,-5,-7,-1,-5,-8,1,0,0,0.8,36.8699,8,5,1,7,5,4,0,0,-0.8,-1,-0.6,0.6,0,0.2,-1.4,0,0.2,0,-2,0,1,0,7,0,1
93,9,6,8,5,1,7,5,-4,2,-4,4,-4,4,-2,4,-5,-7,1,5,8,1,1,0,0.777777778,38.9424,8,5,1,7,5,4,0,0,0.777777778,-0.888888889,-0.777777778,-1.444444444,3.222222222,2.444444444,1.777777778,-3.888888889,-2.777777778,10,6,-2,7,-8,-7,1,-3
94,45,22,8,5,1,8,5,1,2,-4,4,-2,4,-4,4,-5,-7,-4,5,7,2,2,1,-0.6,126.87,8,5,1,8,5,1,1,0,3.177777778,-4.888888889,0.022222222,3.822222222,-6.111111111,-0.022222222,-10,16,0,8,5,1,3,5,-4,-10,-1
95,45,21,8,5,1,8,5,-1,2,-4,4,2,-4,-4,4,-5,-7,-4,5,-7,2,2,1,0.6,53.1301,8,5,1,8,5,1,1,0,-0.2,0,-1.4,-0.088888889,0.111111111,-1.844444444,0.711111111,-0.888888889,12.75555556,-10,-8,0,-1,-55,-32,-2,-51
96,9,6,8,5,1,8,5,-1,2,-4,4,-2,4,4,4,-5,-7,4,-5,7,1,1,0,0.777777778,38.9424,8,5,1,8,5,1,0,0,0.888888889,-0.777777778,0.777777778,-1.222222222,2.444444444,-1.444444444,1.444444444,-2.888888889,1.888888889,4,2,0,11,-4,-5,0,-1
97,15,4,4,4,2,2,0,0,5,-1,-8,0,9,-3,-5,7,-4,0,3,9,2,1,0,0.666666667,48.1897,4,4,2,2,0,0,0,0,0.333333333,-0.866666667,1.066666667,0.666666667,-0.733333333,1.133333333,-2.333333333,2.666666667,-3.666666667,-10,-6,2,5,-13,16,1,-6
98,45,22,4,4,2,4,4,2,5,-1,-8,1,-5,8,-5,7,-4,7,-5,-4,2,2,1,-0.6,126.87,4,4,2,4,4,2,0,0,-0.777777778,1.155555556,0.244444444,-2.111111111,2.022222222,0.177777778,3.666666667,-3.533333333,-0.266666667,4,4,2,-5,-4,3,-9,-13
99,45,21,4,4,2,4,4,2,5,-1,-8,-1,5,-8,-5,7,-4,-7,5,4,2,2,1,0.6,53.1301,4,4,2,4,4,2,0,0,-1.222222222,0.711111111,0.022222222,2.777777778,-2.688888889,-0.177777778,-3.666666667,3.533333333,0.266666667,-4,-4,-2,5,8,19,-3,-1
100,45,23,4,4,2,4,4,2,5,-1,-8,7,-5,-4,-5,7,-4,-1,5,-8,2,1,0,0.111111111,83.6206,4,4,2,4,4,2,0,0,0.444444444,0.644444444,-1.177777778,0.888888889,1.288888889,-4.355555556,-1,-1.4,4.8,4,4,2,-20,1,-7,-13,-3
101,5,1,4,4,2,4,4,2,5,-1,-8,-7,5,4,-5,7,-4,1,-5,8,1,0,0,0.8,36.8699,4,4,2,4,4,2,0,0,0,0.2,-1.4,-1,-1,4,1,1.4,-4.8,-4,-4,-2,0,7,1,-1,5
102,5,1,8,6,0,2,0,0,0,0,2,0,2,0,6,-8,0,0,0,10,1,0,0,0.8,36.8699,8,6,0,2,0,0,1,0,0.6,-0.8,1,-0.2,0.6,0,0.4,-2.2,1,6,2,2,7,-1,0,2,-1
103,25,10,8,6,0,8,6,0,0,0,2,0,0,-2,6,-8,0,-6,8,0,1,0,0,0.96,16.2602,8,6,0,8,6,0,1,0,-0.68,1.24,0,3,-4,-1,-0.24,0.32,0,8,6,0,7,24,-25,1,7
104,25,24,8,6,0,2,0,0,3,-4,5,0,7,1,3,-4,-5,0,-1,7,2,1,1,-0.92,156.926,8,6,0,2,0,0,0,0,-0.4,2.2,-1,2,-8,4,-4.36,17.48,-8.8,12,4,2,43,26,-35,4,3
105,25,24,8,6,0,8,6,0,3,-4,5,3,-4,-5,3,-4,-5,-3,4,-5,2,1,1,-0.92,156.926,8,6,0,8,6,0,0,0,-0.16,-0.12,-1.4,0.12,-0.16,-0.2,0,0,2,-8,-6,0,-1,-32,-15,-2,-29
106,25,24,7,1,0,5,4,3,1,-7,0,5,-4,-3,0,0,-10,0,6,-8,2,1,1,-0.92,156.926,7,1,0,5,4,3,0,0,-1.28,-0.04,0.6,0.28,-0.96,-0.6,-0.44,1.08,0.8,-6,2,-6,-29,3,-20,-27,4
107,25,24,7,1,0,5,4,3,1,-7,0,-5,4,3,0,0,-10,0,-6,8,2,1,1,-0.92,156.926,7,1,0,5,4,3,0,0,1.16,-2.12,0.4,-0.4,0.8,0,1.84,-3.88,0.6,6,3,1,27,11,-20,2,1
108,5,1,5,4,3,1,1,0,5,-4,-3,5,-5,0,0,6,-8,0,0,-10,1,0,0,0.8,36.8699,5,4,3,1,1,0,0,0,1,0.8,0.6,0,0.6,0.2,0,-1.4,0.2,2,0,0,5,-3,4,3,-2
109,25,24,5,4,3,5,4,3,5,-4,-3,-5,4,3,0,6,-8,0,-6,8,2,1,1,-0.92,156.926,5,4,3,5,4,3,0,0,-0.8,1.16,0.12,0.6,-0.72,-0.04,-8,10,0,5,4,3,-15,-32,1,-2,-3
110,25,10,5,4,3,5,4,-3,5,-4,-3,5,-4,3,0,6,-8,0,-6,-8,1,0,0,0.96,16.2602,5,4,3,5,4,3,0,0,1,0.28,0.96,0,0.32,0.24,0,-1.24,-0.68,2,0,0,25,-24,7,8,-7
111,25,24,5,4,3,5,4,-3,5,-4,-3,-5,4,-3,0,6,-8,0,6,8,2,1,1,-0.92,156.926,5,4,3,5,4,3,0,0,-0.8,0.44,1.08,-2.2,1.76,3.32,6.4,-5.12,-9.84,-8,-10,0,-15,32,-1,-14,27
112,53,25,9,5,0,9,5,0,0,0,2,0,0,-2,5,-9,0,-5,9,0,1,0,0,0.849056604,31.8908,9,5,0,9,5,0,1,0,1.169811321,-1.905660377,-1,-6.41509434,11.54716981,6,15,-27,-14,9,5,0,28,45,-53,26,38
113,53,25,2,0,0,2,0,0,0,9,5,0,9,-5,0,-5,9,0,5,9,1,0,0,0.849056604,31.8908,2,0,0,2,0,0,0,0,1,0.528301887,0.849056604,0,0.773584906,0.20754717,0,-1.377358491,-0.320754717,2,0,0,53,-45,28,31,-26
114,27,26,10,2,2,10,2,2,0,1,-1,0,-1,1,-2,5,5,2,-5,-5,1,1,0,0.851851852,31.5863,10,2,2,10,2,2,1,0,0.740740741,-0.851851852,-0.851851852,-0.925925926,1.814814815,2.814814815,1,-2,-3,10,2,2,46,47,-7,9,11
115,9,6,10,2,2,2,2,2,0,1,-1,1,-1,0,-2,5,5,3,3,-6,1,1,0,0.777777778,38.9424,10,2,2,2,2,2,1,0,0,1,-1,0.333333333,-1.333333333,1.666666667,-0.888888889,4.222222222,-5.777777778,3,2,1,11,-5,4,4,-3
116,3,2,10,2,2,2,2,2,0,1,-1,-1,1,0,-2,5,5,-3,-3,6,1,1,0,0.333333333,70.5288,10,2,2,2,2,2,1,0,-1.333333333,0.333333333,0.333333333,-0.333333333,-0.666666667,0.333333333,-0.333333333,1.333333333,0.333333333,-1,0,-1,-1,-1,0,-4,1
117,27,26,5,5,2,5,5,2,1,-1,0,-1,1,0,2,2,-10,-2,-2,10,1,1,0,0.851851852,31.5863,5,5,2,5,5,2,1,0,2.185185185,-0.814814815,-2.925925926,-2.814814815,1.185185185,4.074074074,7,-3,-10,5,5,2,-8,-35,13,-5,-19
118,9,6,5,5,2,2,1,1,1,-1,0,0,1,-1,2,2,-10,-6,6,6,1,1,0,0.777777778,38.9424,5,5,2,2,1,1,1,0,0.444444444,-0.555555556,-1.222222222,0.555555556,-0.444444444,-0.777777778,-3.555555556,2.444444444,5.777777778,-3,-2,-1,-7,-7,8,-6,-5
119,3,2,5,5,2,2,1,1,1,-1,0,0,-1,1,2,2,-10,6,-6,-6,1,1,0,0.333333333,70.5288,5,5,2,2,1,1,1,0,0.333333333,1.333333333,0.333333333,-0.333333333,0.666666667,-0.333333333,0,-1,1,2,2,2,-4,-1,-1,-1,0
120,27,27,10,2,2,10,2,2,1,-4,-1,1,-1,-4,1,2,-7,-1,7,-2,2,1,0,0.814814815,35.4309,10,2,2,10,2,2,0,0,-0.185185185,-1.37037037,0.296296296,0.259259259,-1.481481481,0.185185185,-0.666666667,3.666666667,-0.333333333,-10,-2,-2,-43,-5,-50,-6,-1
121,9,6,10,2,2,10,2,2,1,-4,-1,-1,1,4,1,2,-7,1,-7,2,1,1,0,0.777777778,38.9424,10,2,2,10,2,2,0,0,0.555555556,-1.222222222,0.444444444,-0.111111111,0.444444444,0.111111111,0.666666667,-3.666666667,0.333333333,10,2,2,19,5,-10,-1,0
122,27,27,7,2,1,5,5,2,1,-4,1,3,-3,0,2,-2,-10,2,2,-10,2,1,0,0.814814815,35.4309,7,2,1,5,5,2,0,0,-1.37037037,-0.296296296,0.185185185,0.962962963,1.37037037,-0.481481481,-1.037037037,-1.62962963,0.518518519,-2,0,-4,25,-7,28,17,-6
123,9,6,7,2,1,5,5,2,1,-4,1,-3,3,0,2,-2,-10,-2,-2,10,1,1,0,0.777777778,38.9424,7,2,1,5,5,2,0,0,-0.333333333,1.333333333,-0.333333333,0.777777778,-1.444444444,0.444444444,-2.555555556,4.888888889,-1.888888889,10,6,2,8,7,-7,5,5
124,27,27,7,2,1,7,2,1,1,-4,1,-1,4,-1,2,-2,-10,-2,2,10,2,1,0,0.814814815,35.4309,7,2,1,7,2,1,0,0,1.259259259,-2.925925926,-1.962962963,-3.962962963,10.2962963,7.148148148,10,-26,-18,7,2,1,-8,-37,-5,-4,-12
125,27,26,7,2,1,7,2,-1,1,-4,1,1,-4,-1,2,-2,-10,-2,2,-10,1,1,0,0.851851852,31.5863,7,2,1,7,2,1,0,0,0.296296296,-1.296296296,-0.481481481,0.444444444,-0.444444444,-0.222222222,-1.592592593,1.592592593,0.962962963,-1,-1,0,-8,35,13,-5,19
126,9,6,7,2,1,7,2,-1,1,-4,1,-1,4,1,2,-2,-10,2,-2,10,1,1,0,0.777777778,38.9424,7,2,1,7,2,1,0,0,0.555555556,-1.222222222,-0.444444444,-0.666666667,2.666666667,1.333333333,1.444444444,-5.777777778,-2.555555556,8,2,0,1,0,-1,-28,-5
127,3,2,7,2,1,2,1,1,1,-4,1,0,3,-3,2,-2,-10,-6,6,6,1,1,0,0.333333333,70.5288,7,2,1,2,1,1,0,0,-1,0,1,-0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,-2.333333333,-6,-2,-2,-1,-1,0,-4,1
128,9,6,7,2,1,2,1,1,1,-4,1,0,-3,3,2,-2,-10,6,-6,-6,1,1,0,0.777777778,38.9424,7,2,1,2,1,1,0,0,0.555555556,0.444444444,1.222222222,-0.111111111,0.111111111,-0.444444444,0.111111111,-0.111111111,2.444444444,1,1,0,5,4,11,3,1
129,27,26,4,1,1,4,1,1,2,-7,-1,2,-1,-7,2,2,-10,-2,10,-2,1,1,0,0.851851852,31.5863,4,1,1,4,1,1,0,0,-0.259259259,1.740740741,-1.703703704,0.074074074,-0.925925926,0.62962963,0,-1,1,-4,-1,-1,-23,-23,-20,-3,-2
130,27,27,4,1,1,4,1,1,2,-7,-1,-2,1,7,2,2,-10,2,-10,2,2,1,0,0.814814815,35.4309,4,1,1,4,1,1,0,0,0.185185185,1.851851852,-1.592592593,0.074074074,-2.259259259,1.962962963,0,1,-1,4,1,1,37,-8,-5,21,-5
131,27,27,4,1,1,1,1,0,2,-7,-1,5,-5,-2,2,2,-10,-2,2,-10,2,1,0,0.814814815,35.4309,4,1,1,1,1,0,0,0,-1.333333333,-0.333333333,-0.333333333,1.37037037,-0.962962963,0.481481481,-1.62962963,1.037037037,-0.518518519,0,-2,-4,-7,-25,-28,-6,-19
132,27,26,1,1,0,1,1,0,5,-5,2,5,-5,-2,2,-2,-10,-2,2,-10,1,1,0,0.851851852,31.5863,1,1,0,1,1,0,0,0,0.296296296,-1.296296296,-0.481481481,0.444444444,-0.444444444,-0.222222222,-1.592592593,1.592592593,0.962962963,-1,-1,0,-8,35,13,-5,19
133,55,28,10,3,1,10,3,1,0,1,-3,0,-1,3,-2,6,2,2,-6,-2,3,1,0,0.818181818,35.0968,10,3,1,10,3,1,1,0,1.181818182,-2.945454545,-1.981818182,-9.090909091,24.67272727,16.89090909,14,-38,-26,10,3,1,-15,-76,-7,-3,-8
134,11,9,10,3,1,10,3,-1,0,1,-3,0,1,3,-2,6,2,2,-6,2,1,1,0,0.636363636,50.4788,10,3,1,10,3,1,0,0,-0.363636364,0.090909091,1.363636364,-0.090909091,0.272727273,3.090909091,0.090909091,-0.272727273,-5.090909091,-3,-1,0,-7,-12,7,-2,-1
135,5,1,10,3,1,10,3,-1,0,1,-3,0,-1,-3,-2,6,2,-2,6,-2,1,0,0,0.8,36.8699,10,3,1,10,3,1,0,0,1,0.8,0.6,0,0.6,0.2,0,-1.4,0.2,2,0,0,5,-3,4,3,-2
136,55,28,6,2,2,6,2,2,1,-3,0,1,0,-3,3,1,-10,-3,10,-1,3,1,0,0.818181818,35.0968,6,2,2,6,2,2,1,0,-0.490909091,-1.163636364,0.636363636,0.163636364,-0.945454545,0.454545455,-0.4,2.2,-1,-6,-2,-2,-43,-51,-40,-35,-40
137,5,1,6,2,2,6,2,2,1,-3,0,-1,0,3,3,1,-10,3,-10,1,1,0,0,0.8,36.8699,6,2,2,6,2,2,0,0,0.6,-0.8,1,-0.2,0.6,0,0.4,-2.2,1,6,2,2,7,-1,0,2,-1
138,55,28,3,1,0,3,1,0,2,-6,2,2,-6,-2,1,-3,-10,-1,3,-10,3,1,0,0.818181818,35.0968,3,1,0,3,1,0,0,0,0.127272727,-1.381818182,-0.272727273,0.218181818,-0.654545455,-0.181818182,-1.545454545,4.636363636,1.454545455,-3,-1,0,-4,-3,-5,-13,-11
139,11,9,3,1,0,3,1,0,2,-6,2,-2,6,2,1,-3,-10,1,-3,10,1,1,0,0.636363636,50.4788,3,1,0,3,1,0,0,0,0.727272727,-1.181818182,-0.272727273,-0.454545455,1.363636364,0.545454545,1.545454545,-4.636363636,-1.454545455,3,1,0,1,0,-1,-15,1
140,57,29,8,7,1,8,7,1,2,-2,-2,-2,2,2,-2,3,-5,2,-3,5,1,1,1,0.973684211,13.1736,8,7,1,8,7,1,1,0,-0.859649123,1.122807018,0.01754386,1.859649123,-2.122807018,-0.01754386,-14,16,0,8,7,1,64,-1,-49,9,-1
141,19,30,8,7,1,8,7,-1,2,-2,-2,2,-2,2,-2,3,-5,2,-3,-5,1,1,1,0.684210526,46.8264,8,7,1,8,7,1,1,0,0.473684211,-0.210526316,-1.315789474,-0.736842105,1.105263158,4.157894737,1.263157895,-1.894736842,-6.842105263,6,4,0,25,-9,-4,16,-7
142,3,2,8,7,1,8,7,-1,2,-2,-2,-2,2,-2,-2,3,-5,-2,3,5,1,1,0,0.333333333,70.5288,8,7,1,8,7,1,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
143,19,30,5,3,2,5,3,2,2,-2,-2,-2,2,2,-1,7,-8,1,-7,8,1,1,1,0.684210526,46.8264,5,3,2,5,3,2,1,0,2.263157895,-2.842105263,-0.894736842,-7.789473684,10.52631579,3.684210526,17,-23,-8,5,3,2,25,-4,-9,23,-2
144,57,29,5,3,2,5,3,-2,2,-2,-2,2,-2,2,-1,7,-8,1,-7,-8,1,1,1,0.973684211,13.1736,5,3,2,5,3,2,1,0,0.263157895,-0.842105263,1.105263158,0.719298246,-5.035087719,7.754385965,0.01754386,-0.122807018,0.140350877,7,1,0,64,-49,-1,48,-35
145,3,2,5,3,2,5,3,-2,2,-2,-2,-2,2,-2,-1,7,-8,-1,7,8,1,1,0,0.333333333,70.5288,5,3,2,5,3,2,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
146,57,29,2,2,2,2,2,2,5,-3,-2,5,-2,-3,1,7,-8,-1,8,-7,1,1,1,0.973684211,13.1736,2,2,2,2,2,2,0,0,-1.122807018,-0.859649123,-0.01754386,0.964912281,-0.245614035,-0.719298246,-1.105263158,0.263157895,0.842105263,-2,-2,-2,49,1,64,43,2
147,19,30,2,2,2,2,2,2,5,-3,-2,-5,2,3,1,7,-8,1,-8,7,1,1,1,0.684210526,46.8264,2,2,2,2,2,2,0,0,0.210526316,0.473684211,1.315789474,-0.421052632,0.052631579,0.368421053,1.105263158,-0.263157895,-0.842105263,2,2,2,-9,-25,-4,-2,-9
148,29,11,10,4,0,10,4,0,0,0,2,0,0,-2,4,-10,0,-4,10,0,1,0,0,0.724137931,43.6028,10,4,0,10,4,0,1,0,-0.655172414,2.137931034,1,2.551724138,-6.379310345,-3,-6,15,7,10,4,0,21,20,-29,13,11
149,61,31,11,1,0,11,1,0,0,0,2,0,0,-2,1,-11,0,-1,11,0,1,0,0,0.983606557,10.3889,11,1,0,11,1,0,1,0,0.180327869,-0.983606557,-1,-0.163934426,1.803278689,2,1,-11,-12,11,1,0,60,11,-61,60,11
150,61,31,2,0,0,2,0,0,0,11,1,0,11,-1,0,-1,11,0,1,11,1,0,0,0.983606557,10.3889,2,0,0,2,0,0,0,0,1,0.983606557,0.180327869,0,0.967213115,-0.639344262,0,-1.163934426,0.803278689,2,0,0,61,-11,60,51,-10
151,65,32,11,3,0,11,3,0,0,0,2,0,0,-2,3,-11,0,-3,11,0,1,0,0,0.861538462,30.5102,11,3,0,11,3,0,1,0,1.169230769,-3.953846154,-3,-13.56923077,49.75384615,38,15,-55,-42,11,3,0,56,33,-65,15,10
152,13,3,11,3,0,9,7,0,0,0,2,0,0,2,3,-11,0,7,-9,0,1,0,0,0.923076923,22.6199,11,3,0,9,7,0,1,0,-0.384615385,-0.923076923,-1,0.846153846,0.230769231,0,-1.307692308,-0.538461538,0,0,0,-2,12,-5,13,7,-4
153,5,1,11,3,0,9,7,0,0,0,2,0,0,-2,3,-11,0,-7,9,0,1,0,0,0.8,36.8699,11,3,0,9,7,0,1,0,0.8,-0.6,-1,-0.2,0.4,1,1,-2,-3,4,2,0,3,4,-5,1,3
154,65,33,9,7,0,9,7,0,0,0,2,0,0,-2,7,-9,0,-7,9,0,1,0,0,0.969230769,14.25,9,7,0,9,7,0,1,0,3.138461538,-3.892307692,-1,-42.86153846,55.10769231,14,49,-63,-16,9,7,0,16,63,-65,1,8
155,65,32,2,0,0,2,0,0,0,11,3,0,11,-3,0,-3,11,0,3,11,1,0,0,0.861538462,30.5102,2,0,0,2,0,0,0,0,1,0.861538462,0.507692308,0,0.384615385,-0.076923077,0,-1.369230769,0.353846154,2,0,0,65,-33,56,19,-10
156,65,33,2,0,0,2,0,0,0,9,7,0,9,-7,0,-7,9,0,7,9,1,0,0,0.969230769,14.25,2,0,0,2,0,0,0,0,1,0.246153846,0.969230769,0,0.138461538,0.107692308,0,-1.215384615,-0.723076923,2,0,0,65,-63,16,9,-8
157,33,34,8,8,2,8,8,2,1,-1,0,-1,1,0,1,1,-8,-1,-1,8,1,1,0,0.939393939,20.05,8,8,2,8,8,2,1,0,-1.757575758,1.242424242,3.060606061,-3.757575758,2.242424242,6.060606061,5,-3,-8,8,8,2,-7,-40,23,-2,-7
158,11,9,10,4,4,8,8,2,0,1,-1,1,-1,0,-4,5,5,1,1,-8,1,1,0,0.636363636,50.4788,10,4,4,8,8,2,1,0,0,1,-1,1,-3,4,-1.090909091,3.363636364,-4.636363636,10,6,2,13,3,-8,6,1
159,3,2,10,4,4,8,8,2,0,1,-1,-1,1,0,-4,5,5,-1,-1,8,1,1,0,0.333333333,70.5288,10,4,4,8,8,2,1,0,-1.333333333,-0.333333333,-0.333333333,0.333333333,-0.666666667,0.333333333,-1,1,0,-2,-2,-2,1,1,4,1,2
160,33,35,10,4,4,10,4,4,0,1,-1,0,-1,1,-4,5,5,4,-5,-5,1,1,0,0.515151515,58.9924,10,4,4,10,4,4,1,0,1.303030303,-1.878787879,-0.878787879,-0.121212121,0.151515152,0.151515152,2.666666667,-4.333333333,-2.333333333,10,4,4,37,28,-5,0,1
161,33,34,8,1,1,8,1,1,0,1,-1,0,-1,1,-2,8,8,2,-8,-8,1,1,0,0.939393939,20.05,8,1,1,8,1,1,1,0,-0.757575758,4.03030303,3.03030303,3.212121212,-14.84848485,-10.84848485,-8,37,27,8,1,1,-23,-40,-7,-20,-32
162,11,9,8,1,1,5,5,4,0,1,-1,1,-1,0,-2,8,8,4,4,-10,1,1,0,0.636363636,50.4788,8,1,1,5,5,4,1,0,0,1,-1,1,-3,4,-1.090909091,3.363636364,-4.636363636,10,6,2,13,3,-8,6,1
163,3,2,8,1,1,5,5,4,0,1,-1,-1,1,0,-2,8,8,-4,-4,10,1,1,0,0.333333333,70.5288,8,1,1,5,5,4,1,0,-1.333333333,0.333333333,0.333333333,-0.333333333,-0.666666667,0.333333333,-0.333333333,1.333333333,0.333333333,-1,0,-1,-1,-1,0,-4,1
164,33,35,5,5,4,5,5,4,1,-1,0,-1,1,0,4,4,-10,-4,-4,10,1,1,0,0.515151515,58.9924,5,5,4,5,5,4,1,0,-0.848484848,0.151515152,1.121212121,-5.424242424,0.575757576,6.060606061,9,-1,-10,5,5,4,-4,-15,-1,6,4
165,33,34,1,1,0,1,1,0,1,-1,8,1,-1,-8,8,-8,-2,-8,8,-2,1,1,0,0.939393939,20.05,1,1,0,1,1,0,0,0,-0.727272727,-0.272727273,1.181818182,-0.181818182,0.181818182,0.545454545,0.151515152,-0.151515152,-0.787878788,-1,-1,0,8,3,-13,5,-2
166,33,35,1,1,0,1,1,0,5,-5,4,5,-5,-4,4,-4,-10,-4,4,-10,1,1,0,0.515151515,58.9924,1,1,0,1,1,0,0,0,0.363636364,-1.363636364,0.090909091,0.151515152,-0.151515152,0.121212121,-0.575757576,0.575757576,-0.060606061,-1,-1,0,-4,15,-1,-3,7
167,35,36,10,6,2,10,6,2,0,1,-3,0,-1,3,-2,3,1,2,-3,-1,2,1,1,0.828571429,34.0477,10,6,2,10,6,2,0,0,-0.428571429,1.342857143,0.114285714,1.857142857,-3.085714286,-0.028571429,-3,5,0,10,6,2,25,36,-23,8,13
168,7,8,10,6,2,10,6,-2,0,1,-3,0,1,3,-2,3,1,2,-3,1,1,1,1,0.785714286,38.2132,10,6,2,10,6,2,0,0,0.428571429,-1.142857143,-0.714285714,0.285714286,-0.428571429,-0.142857143,-3.428571429,5.142857143,3.714285714,-6,-4,0,-1,-9,4,-2,-7
169,5,1,10,6,2,10,6,-2,0,1,-3,0,-1,-3,-2,3,1,-2,3,-1,1,0,0,0.8,36.8699,10,6,2,10,6,2,0,0,1,0.8,0.6,0,0.6,0.2,0,-1.4,0.2,2,0,0,5,-3,4,3,-2
170,35,36,3,2,1,3,2,-1,1,0,-3,1,0,3,-6,10,-2,6,-10,-2,2,1,1,0.828571429,34.0477,3,2,1,3,2,1,0,0,1.4,-2,-0.2,0.171428571,-0.285714286,0.057142857,1.971428571,-3.285714286,-0.342857143,5,3,0,23,20,-39,21,19
171,5,1,3,2,1,3,2,-1,1,0,-3,-1,0,-3,-6,10,-2,-6,10,2,1,0,0,0.8,36.8699,3,2,1,3,2,1,0,0,-0.8,-1,-0.6,0.6,0,0.2,-1.4,0,0.2,0,-2,0,1,0,7,0,1
172,35,36,3,1,0,3,1,0,1,-3,2,1,-3,-2,2,-6,-10,-2,6,-10,2,1,1,0.828571429,34.0477,3,1,0,3,1,0,0,0,0.114285714,-1.342857143,0.428571429,0.342857143,-1.028571429,0.285714286,-1.571428571,4.714285714,-1.142857143,-3,-1,0,-23,-36,-25,-9,-13
173,7,8,3,1,0,3,1,0,1,-3,2,-1,3,2,2,-6,-10,2,-6,10,1,1,1,0.785714286,38.2132,3,1,0,3,1,0,0,0,0.714285714,-1.142857143,0.428571429,0.142857143,-0.428571429,0.285714286,1.571428571,-4.714285714,1.142857143,3,1,0,8,-3,-5,1,-1
174,15,4,10,6,2,10,6,2,0,3,-9,5,-8,-1,-6,9,3,1,2,-11,2,1,0,0.666666667,48.1897,10,6,2,10,6,2,0,0,0.333333333,0.533333333,-1.266666667,0,-0.2,0.6,0.333333333,1.333333333,-5.666666667,10,6,2,20,-1,-7,3,-1
175,21,20,10,6,2,10,6,2,0,3,-9,-5,8,1,-6,9,3,-1,-2,11,2,1,0,0.523809524,58.4119,10,6,2,10,6,2,0,0,-0.238095238,0.19047619,-1.380952381,0.238095238,0.80952381,-3.619047619,-0.333333333,-1.333333333,5.666666667,-10,-6,-2,-8,-23,-17,-7,-17
176,105,37,10,6,2,10,6,-2,0,3,-9,5,-8,1,-6,9,3,-1,-2,-11,2,1,1,-0.828571429,145.952,10,6,2,10,6,2,0,0,-0.666666667,1.666666667,-1.666666667,3,-6.6,6.8,-11.95238095,26.2952381,-27.12380952,11,5,0,40,-11,-27,-10,-6
177,3,2,10,6,2,10,6,-2,0,3,-9,-5,8,-1,-6,9,3,1,2,11,1,1,0,0.333333333,70.5288,10,6,2,10,6,2,0,0,0.333333333,-1.333333333,0.333333333,0.666666667,-0.666666667,0.666666667,-1.666666667,1.666666667,-0.666666667,-1,-1,0,-1,4,-1,0,-1
178,3,2,10,6,2,10,6,-2,0,3,-9,5,-7,4,-6,9,3,1,-5,-10,1,1,0,0.333333333,70.5288,10,6,2,10,6,2,0,0,1,-1,0,0.333333333,-0.666666667,0.333333333,1.666666667,-3.333333333,-0.333333333,4,2,0,1,0,-1,-4,-1
179,105,38,10,6,2,10,6,-2,0,3,-9,-5,7,-4,-6,9,3,-1,5,10,2,1,1,0.542857143,57.1217,10,6,2,10,6,2,0,0,0.571428571,-0.657142857,1.114285714,2.80952381,-2.247619048,4.695238095,-6.095238095,4.876190476,-10.15238095,-8,-10,0,5,24,43,-2,1
180,63,39,10,6,2,10,6,-2,5,-8,-1,5,-8,1,1,2,-11,-1,-2,-11,2,1,0,0.920634921,22.9809,10,6,2,10,6,2,0,0,0.952380952,0.904761905,0.523809524,0.444444444,0.888888889,1.111111111,-0.746031746,-1.492063492,-1.793650794,4,-2,0,17,-8,23,16,-9
181,45,22,10,6,2,10,6,-2,5,-8,-1,-5,8,-1,1,2,-11,1,2,11,2,2,1,-0.6,126.87,10,6,2,10,6,2,0,0,1.666666667,-2.866666667,-1.733333333,0.111111111,-0.177777778,-0.022222222,-2.555555556,4.088888889,2.511111111,-16,-10,0,-5,-16,13,12,1
