GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
22,9,6,4,4,2,4,4,2,3,-3,0,1,1,-4,1,1,-4,-3,3,0,1,1,0,0.777777778,38.9424,4,4,2,4,4,2,1,0,-0.888888889,0.777777778,-0.777777778,0.222222222,-0.444444444,0.444444444,-2.333333333,3.666666667,-2.666666667,-4,-4,-2,0,1,1,-11,-5
23,9,6,4,1,1,1,1,0,0,3,-3,1,-1,4,-2,4,4,4,-4,-2,1,1,0,0.777777778,38.9424,4,1,1,1,1,0,1,0,0.444444444,-1.222222222,-0.555555556,2.555555556,-3.777777778,-1.444444444,-3.111111111,4.555555556,1.888888889,-10,-6,-2,-5,-11,4,-3,-4
24,9,6,1,1,0,1,1,0,1,-1,4,1,-1,-4,4,-4,-2,-4,4,-2,1,1,0,0.777777778,38.9424,1,1,0,1,1,0,0,0,-0.444444444,-0.555555556,1.222222222,0,0,2,-0.111111111,0.111111111,-2.444444444,-1,-1,0,4,5,-11,3,2
25,21,7,5,4,1,5,4,1,2,-2,-2,-2,2,2,-1,2,-3,1,-2,3,1,1,1,0.928571429,21.7868,5,4,1,5,4,1,1,0,-0.761904762,1.19047619,0.047619048,1.761904762,-2.19047619,-0.047619048,-8,10,0,5,4,1,25,-1,-16,6,-1
26,7,8,5,4,1,5,4,-1,2,-2,-2,2,-2,2,-1,2,-3,1,-2,-3,1,1,1,0.785714286,38.2132,5,4,1,5,4,1,1,0,0.714285714,-0.428571429,1.142857143,0.142857143,-0.285714286,2.428571429,0.142857143,-0.285714286,0.428571429,4,2,0,9,-4,-1,4,-3
27,3,2,5,4,1,5,4,-1,2,-2,-2,-2,2,-2,-1,2,-3,-1,2,3,1,1,0,0.333333333,70.5288,5,4,1,5,4,1,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
28,7,8,3,2,1,3,2,1,2,-2,-2,-2,2,2,-1,4,-5,1,-4,5,1,1,1,0.785714286,38.2132,3,2,1,3,2,1,1,0,-0.571428571,1.285714286,0.142857143,1.571428571,-2.285714286,-0.142857143,-4,6,0,3,2,1,9,-1,-4,4,-1
29,21,7,3,2,1,3,2,-1,2,-2,-2,2,-2,2,-1,4,-5,1,-4,-5,1,1,1,0.928571429,21.7868,3,2,1,3,2,1,1,0,0.428571429,-0.714285714,1.142857143,0.523809524,-2.095238095,4.619047619,0.047619048,-0.19047619,0.238095238,8,2,0,25,-16,-1,16,-13
30,3,2,3,2,1,3,2,-1,2,-2,-2,-2,2,-2,-1,4,-5,-1,4,5,1,1,0,0.333333333,70.5288,3,2,1,3,2,1,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
31,21,7,2,2,2,2,2,2,3,-2,-1,3,-1,-2,1,4,-5,-1,5,-4,1,1,1,0.928571429,21.7868,2,2,2,2,2,2,0,0,-1.19047619,-0.761904762,-0.047619048,0.904761905,-0.380952381,-0.523809524,-1.142857143,0.428571429,0.714285714,-2,-2,-2,16,1,25,13,2
